id,name,yearpublished,rank,minp,maxp,minpt,maxpt
224517,Brass: Birmingham,2018,1,2,4,60,120
161936,Pandemic Legacy: Season 1,2015,2,2,4,60,60
174430,Gloomhaven,2017,3,1,4,60,120
342942,Ark Nova,2021,4,1,4,90,150
233078,Twilight Imperium: Fourth Edition,2017,5,3,6,240,480
316554,Dune: Imperium,2020,6,1,4,60,120
167791,Terraforming Mars,2016,7,1,5,120,120
115746,War of the Ring: Second Edition,2011,8,2,4,150,180
187645,Star Wars: Rebellion,2016,9,2,4,180,240
291457,Gloomhaven: Jaws of the Lion,2020,10,1,4,30,120
162886,Spirit Island,2017,11,1,4,90,120
220308,Gaia Project,2017,12,1,4,60,150
12333,Twilight Struggle,2005,13,2,2,120,180
182028,Through the Ages: A New Story of Civilization,2015,14,2,4,120,120
193738,Great Western Trail,2016,15,2,4,75,150
84876,The Castles of Burgundy,2011,16,2,4,30,90
169786,Scythe,2016,17,1,5,90,115
246900,Eclipse: Second Dawn for the Galaxy,2020,18,2,6,60,200
173346,7 Wonders Duel,2015,19,2,2,30,30
28720,Brass: Lancashire,2007,20,2,4,60,120
167355,Nemesis,2018,21,1,5,90,180
266507,Clank! Legacy: Acquisitions Incorporated,2019,22,2,4,90,120
177736,A Feast for Odin,2016,23,1,4,30,120
124361,Concordia,2013,24,2,5,100,100
295770,Frosthaven,2022,25,1,4,90,180
341169,Great Western Trail: Second Edition,2021,26,1,4,75,150
205637,Arkham Horror: The Card Game,2016,27,1,2,60,120
312484,Lost Ruins of Arnak,2020,28,1,4,30,120
266192,Wingspan,2019,29,1,5,40,70
120677,Terra Mystica,2012,30,2,5,60,150
237182,Root,2018,31,2,4,60,90
192135,Too Many Bones,2017,32,1,4,60,120
164928,Orléans,2014,33,2,2,90,90
397598,Dune: Imperium ??Uprising,2023,34,1,6,60,120
96848,Mage Knight Board Game,2011,35,1,4,60,240
251247,Barrage,2019,36,1,4,60,120
199792,Everdell,2018,37,1,4,40,80
324856,The Crew: Mission Deep Sea,2021,38,2,5,20,20
183394,Viticulture Essential Edition,2015,39,1,6,45,90
366013,Heat: Pedal to the Metal,2022,40,1,6,30,60
285774,Marvel Champions: The Card Game,2019,41,1,4,45,90
175914,Food Chain Magnate,2015,42,2,5,120,240
256960,Pax Pamir: Second Edition,2019,43,1,5,45,120
247763,Underwater Cities,2018,44,1,4,80,150
284378,Kanban EV,2020,45,1,4,60,180
3076,Puerto Rico,2002,46,3,5,90,150
521,Crokinole,1876,47,2,4,30,30
295947,Cascadia,2021,48,1,4,30,45
102794,Caverna: The Cave Farmers,2013,49,1,7,30,210
185343,Anachrony,2017,50,1,4,30,120
314040,Pandemic Legacy: Season 0,2020,51,2,4,45,60
184267,On Mars,2020,52,1,4,90,150
170216,Blood Rage,2015,53,2,4,60,90
31260,Agricola,2007,54,1,5,30,150
255984,Sleeping Gods,2021,55,1,4,60,120
161533,Lisboa,2017,56,1,4,60,120
253344,Cthulhu: Death May Die,2019,57,1,5,90,120
221107,Pandemic Legacy: Season 2,2017,58,2,4,60,60
205059,Mansions of Madness: Second Edition,2016,59,1,5,120,180
251661,Oathsworn: Into the Deepwood,2022,60,1,4,30,90
231733,Obsession,2018,61,1,4,30,90
373106,Sky Team,2023,62,2,2,15,15
321608,Hegemony: Lead Your Class to Victory,2023,63,2,4,90,180
126163,Tzolk'in: The Mayan Calendar,2012,64,2,4,90,90
182874,Grand Austria Hotel,2015,65,2,4,60,120
2651,Power Grid,2004,66,2,6,120,120
276025,Maracaibo,2019,67,1,4,30,120
244521,The Quacks of Quedlinburg,2018,68,2,4,45,45
216132,Clans of Caledonia,2017,69,1,4,30,120
35677,Le Havre,2008,70,1,5,30,150
125153,The Gallerist,2015,71,1,4,60,150
266810,Paladins of the West Kingdom,2019,72,1,4,90,120
164153,Star Wars: Imperial Assault,2014,73,2,5,60,120
124742,Android: Netrunner,2012,74,2,2,45,45
209010,Mechs vs. Minions,2016,75,2,4,60,120
284083,The Crew: The Quest for Planet Nine,2019,76,2,5,20,20
55690,Kingdom Death: Monster,2015,77,1,4,60,180
200680,Agricola (Revised Edition),2016,78,1,4,30,120
230802,Azul,2017,79,2,4,30,45
28143,Race for the Galaxy,2007,80,2,4,30,60
157354,Five Tribes: The Djinns of Naqala,2014,81,2,4,40,80
72125,Eclipse: New Dawn for the Galaxy,2011,82,2,6,60,180
201808,Clank!: A Deck-Building Adventure,2016,83,2,4,30,60
383179,Age of Innovation,2023,84,1,5,40,200
191189,Aeon's End,2016,85,1,4,60,60
159675,Fields of Arle,2014,86,1,2,60,120
229853,Teotihuacan: City of Gods,2018,87,1,4,90,120
110327,Lords of Waterdeep,2012,88,2,5,60,120
317985,Beyond the Sun,2020,89,2,4,60,120
25613,Through the Ages: A Story of Civilization,2006,90,2,4,120,120
93,El Grande,1995,91,2,5,60,120
62219,Dominant Species,2010,92,2,6,120,240
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,93,2,4,45,90
68448,7 Wonders,2010,94,1,4,60,120
171623,The Voyages of Marco Polo,2015,95,2,4,40,100
365717,Clank!: Catacombs,2022,96,2,4,45,90
256916,Concordia Venus,2018,97,2,6,60,120
279537,The Search for Planet X,2020,98,1,4,60,75
332772,Revive,2022,99,1,4,90,120
366161,Wingspan Asia,2022,100,1,2,40,70
225694,Decrypto,2018,101,3,8,15,45
291453,SCOUT,2019,102,2,5,15,15
264220,Tainted Grail: The Fall of Avalon,2019,103,1,4,60,120
155821,Inis,2016,104,2,4,60,90
37111,Battlestar Galactica: The Board Game,2008,105,3,6,120,180
236457,Architects of the West Kingdom,2018,106,1,5,60,80
163068,Trickerion: Legends of Illusion,2015,107,2,4,60,180
310873,Carnegie,2022,108,1,4,90,120
322289,Darwin's Journey,2023,109,1,4,60,120
122515,Keyflower,2012,110,2,6,90,120
170042,Raiders of the North Sea,2015,111,2,4,60,80
42,Tigris & Euphrates,1997,112,2,4,60,120
40834,Dominion: Intrigue,2009,113,2,6,30,30
364073,Splendor Duel,2022,114,2,2,30,30
18602,Caylus,2005,115,2,5,60,150
203993,Lorenzo il Magnifico,2016,116,2,4,60,120
73439,Troyes,2010,117,1,4,90,90
146021,Eldritch Horror,2013,118,1,8,120,240
271055,Dwellings of Eldervale,2020,119,1,5,60,150
172386,Mombasa,2015,120,2,4,75,150
277659,Final Girl,2021,121,1,1,20,60
269385,The Lord of the Rings: Journeys in Middle-Earth,2019,122,1,5,60,120
217372,The Quest for El Dorado,2017,123,2,4,30,60
180263,The 7th Continent,2017,124,1,4,5,1000
371942,The White Castle,2023,125,1,4,80,80
12493,Twilight Imperium: Third Edition,2005,126,3,6,180,240
163412,Patchwork,2014,127,2,2,15,30
144733,Russian Railroads,2013,128,2,4,120,120
102680,Trajan,2011,129,2,4,60,120
36218,Dominion,2008,130,2,4,30,30
12,Ra,1999,131,2,5,45,60
4098,Age of Steam,2002,132,1,6,120,120
205896,Rising Sun,2018,133,3,5,90,120
43015,Hansa Teutonica,2009,134,2,5,45,90
218417,Aeon's End: War Eternal,2017,135,1,4,60,60
310100,Nemesis: Lockdown,2022,136,1,5,90,180
175640,Vinhos: Deluxe Edition,2016,137,1,4,90,180
380607,Great Western Trail: New Zealand,2023,138,1,4,75,150
198928,Iberia,2016,139,2,5,45,45
233371,Clank! In! Space!: A Deck-Building Adventure,2017,140,2,4,45,90
175155,Forbidden Stars,2015,141,2,4,120,180
196340,Yokohama,2016,142,2,4,90,90
178900,Codenames,2015,143,2,8,15,15
172287,Champions of Midgard,2015,144,2,4,60,90
227935,Wonderland's War,2022,145,2,5,45,125
266524,PARKS,2019,146,1,5,30,60
240980,Blood on the Clocktower,2022,147,6,21,30,120
254640,Just One,2018,148,3,7,20,60
132531,Roll for the Galaxy,2014,149,2,5,45,45
281259,The Isle of Cats,2019,150,1,4,60,90
30549,Pandemic,2008,151,2,4,45,45
337627,Voidfall,2023,152,1,4,90,240
220877,Rajas of the Ganges,2017,153,2,4,45,75
118048,Targi,2012,154,2,2,60,60
263918,Cartographers,2019,155,1,100,30,45
304783,Hadrian's Wall,2021,156,1,6,30,60
262712,Res Arcana,2019,157,2,4,30,60
147020,Star Realms,2014,158,2,2,20,20
161970,Alchemists,2014,159,2,4,120,120
274364,Watergate,2019,160,2,2,30,60
189932,Tyrants of the Underdark,2016,161,2,4,60,60
271324,It's a Wonderful World,2019,162,1,5,45,45
308765,Praga Caput Regni,2020,163,1,4,45,150
390092,Ticket to Ride Legacy: Legends of the West,2023,164,2,5,20,90
268864,Undaunted: Normandy,2019,165,2,2,45,60
14996,Ticket to Ride: Europe,2005,166,2,5,30,60
463,Magic: The Gathering,1993,167,2,2,20,20
127023,Kemet,2012,168,2,5,90,120
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,169,1,8,60,120
34635,Stone Age,2008,170,2,4,60,90
77423,The Lord of the Rings: The Card Game,2011,171,1,2,30,60
235802,Too Many Bones: Undertow,2018,172,1,2,60,180
233398,Endeavor: Age of Sail,2018,173,2,5,60,90
328871,Terraforming Mars: Ares Expedition,2021,174,1,4,45,60
146652,Legendary Encounters: An Alien Deck Building Game,2014,175,1,5,30,60
296151,Viscounts of the West Kingdom,2020,176,1,4,60,90
325494,ISS Vanguard,2022,177,1,4,90,120
148949,Istanbul,2014,178,2,5,40,60
249259,War Chest,2018,179,2,4,30,30
103885,Star Wars: X-Wing Miniatures Game,2012,180,2,2,30,45
265188,Glen More II: Chronicles,2019,181,2,4,90,120
283948,Marco Polo II: In the Service of the Khan,2019,182,2,4,60,120
209418,Dominion (Second Edition),2016,183,2,4,30,30
329082,Radlands,2021,184,2,2,20,40
244522,That's Pretty Clever!,2018,185,1,4,30,30
294484,Unmatched: Cobble & Fog,2020,186,2,4,20,40
82222,Xia: Legends of a Drift System,2014,187,3,5,60,180
233867,Welcome To...,2018,188,1,100,25,25
54043,Jaipur,2009,189,2,2,30,30
350184,Earth,2023,190,1,5,45,90
9609,War of the Ring,2004,191,2,4,120,120
43111,Chaos in the Old World,2009,192,3,4,60,120
258779,Planet Unknown,2022,193,1,6,60,80
339789,Welcome to the Moon,2021,194,1,6,25,30
283355,Dune,2019,195,2,6,120,180
